緯度	経度	チェーンID	チェーン	名称	住所	TEL	営業時間	定休日	URL	駐車場	取扱	備考
35.7015618	139.697507	shopping/conveni/lawson100	ローソン100	新宿百人町	東京都新宿区百人町1‐17‐6成田ビル	03-5348-8299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/257621/		たばこ	
35.5622407	139.699326	shopping/conveni/lawson100	ローソン100	矢口渡駅前	東京都大田区多摩川1‐21‐5	03-5741-3899	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256580/		お酒／たばこ	
35.7342802	139.699526	shopping/conveni/lawson100	ローソン100	池袋要町	東京都豊島区要町1‐13‐12	03-5917-6385	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250760/		お酒	
35.61375	139.700203	shopping/conveni/lawson100	ローソン100	品川小山	東京都品川区小山6‐8‐12ヒルプラザ	03-5498-7299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256774/		お酒／たばこ	
35.701149	139.699817	shopping/conveni/lawson100	ローソン100	新大久保駅前	東京都新宿区百人町1‐11‐22 リサビル	03-3227-3084	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255786/		お酒／たばこ	
35.5736706	139.701614	shopping/conveni/lawson100	ローソン100	大田池上三丁目	東京都大田区池上3‐32‐17	03-3751-1001	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/354318/		お酒	
35.7468687	139.701901	shopping/conveni/lawson100	ローソン100	大山町	東京都板橋区大山町12‐1	03-5986-0433	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250040/		お酒／たばこ	
35.558644	139.704843	shopping/conveni/lawson100	ローソン100	新蒲田	東京都大田区新蒲田2‐19‐13 第2長谷川ビル	03-5480-1299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/252434/		お酒	
35.6979931	139.705505	shopping/conveni/lawson100	ローソン100	歌舞伎町二丁目	東京都新宿区歌舞伎町2‐17‐10	03-5155-7399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/260600/		お酒／たばこ	
35.7691461	139.704858	shopping/conveni/lawson100	ローソン100	板橋蓮沼町	東京都板橋区蓮沼町16‐9	03-5914-6299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/260280/		お酒／たばこ	
35.734558	139.708546	shopping/conveni/lawson100	ローソン100	池袋西口	東京都豊島区池袋2‐59‐2クレール池袋	03-5979-0299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/258603/		お酒	
35.7587892	139.708139	shopping/conveni/lawson100	ローソン100	板橋本町	東京都板橋区本町25‐7	03-5943-3199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251216/		お酒／たばこ	
35.7859254	139.708058	shopping/conveni/lawson100	ローソン100	北赤羽駅前	東京都北区赤羽北2‐32‐11	03-5963-6499	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/257130/		お酒／たばこ	
35.5644018	139.709014	shopping/conveni/lawson100	ローソン100	蓮沼駅前	東京都大田区西蒲田7‐16‐2	03-3736-0417	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250725/		お酒	
35.6533566	139.708993	shopping/conveni/lawson100	ローソン100	渋谷	東京都渋谷区東2‐20‐13 シャトレー渋谷1F	03-3409-6799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256314/		お酒／たばこ	
35.691899	139.709475	shopping/conveni/lawson100	ローソン100	新宿五丁目	東京都新宿区新宿5‐6‐2	03-5362-0599	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/254858/		お酒／たばこ	
35.6959614	139.709533	shopping/conveni/lawson100	ローソン100	新宿文化センター前	東京都新宿区新宿6‐27‐2	03-5291-5199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/262674/		お酒／たばこ	
35.7038983	139.708803	shopping/conveni/lawson100	ローソン100	大久保二丁目	東京都新宿区大久保2‐3‐6	03-5291-9940	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251162/		お酒	
35.735025	139.709787	shopping/conveni/lawson100	ローソン100	池袋二丁目	東京都豊島区池袋2‐61‐7	03-5958-1499	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255705/		お酒／たばこ	
35.6912062	139.711314	shopping/conveni/lawson100	ローソン100	新宿一丁目	東京都新宿区新宿1‐34‐16	03-5919-1299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255444/		お酒／たばこ	
35.7110614	139.710971	shopping/conveni/lawson100	ローソン100	新宿早稲田通	東京都新宿区西早稲田2‐18‐18	03-5155-3872	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250458/		お酒／たばこ	
35.7234565	139.711984	shopping/conveni/lawson100	ローソン100	南池袋三丁目	東京都豊島区南池袋3‐7‐8	03-5956-9699	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/260907/		お酒	
35.7402595	139.712394	shopping/conveni/lawson100	ローソン100	池袋本町一丁目	東京都豊島区池袋本町1‐46‐3	03-5957-3511	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263662/		お酒	
35.5537334	139.713017	shopping/conveni/lawson100	ローソン100	仲六郷一丁目	東京都大田区仲六郷1‐35‐7	03-5714-5499	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263283/		お酒／たばこ	
35.5504361	139.714292	shopping/conveni/lawson100	ローソン100	雑色	東京都大田区仲六郷2‐28‐1	03-5713-8899	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255964/		お酒	
35.5632712	139.713961	shopping/conveni/lawson100	ローソン100	蒲田西口	東京都大田区西蒲田7‐30‐1	03-3739-3141	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250263/		お酒／たばこ	
35.6018148	139.713815	shopping/conveni/lawson100	ローソン100	品川二葉四丁目	東京都品川区二葉4‐27‐9	03-3787-0163	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250406/		お酒／たばこ	
35.5692246	139.716249	shopping/conveni/lawson100	ローソン100	西蒲田四丁目	東京都大田区西蒲田4‐14‐4	03-5747-6199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/257319/		お酒／たばこ	
35.7525906	139.715863	shopping/conveni/lawson100	ローソン100	板橋三丁目	東京都板橋区板橋3‐35‐12	03-5943-2199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/252279/		お酒／たばこ	
35.6085041	139.71765	shopping/conveni/lawson100	ローソン100	戸越公園駅前	東京都品川区戸越6‐6‐6三栄第一ビルB1F	03-5749-8399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251630/		お酒	
35.761675	139.717012	shopping/conveni/lawson100	ローソン100	上十条	東京都北区上十条3‐20‐2	03-5963-6800	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251044/		お酒	
35.6472311	139.718038	shopping/conveni/lawson100	ローソン100	渋谷恵比寿二丁目	東京都渋谷区恵比寿2‐16‐1	03-3449-2185	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250530/		お酒／たばこ	
35.5584741	139.719053	shopping/conveni/lawson100	ローソン100	蒲田本町	東京都大田区蒲田本町2‐2‐1	03-5480-1544	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250270/		お酒／たばこ	
35.5999291	139.719559	shopping/conveni/lawson100	ローソン100	西大井五丁目	東京都品川区西大井5‐11‐16	03-5709-7599	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/260942/	有	お酒	
35.6276469	139.719766	shopping/conveni/lawson100	ローソン100	品川西五反田二丁目	東京都品川区西五反田2‐11‐20	03-5436-4499	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/260505/		お酒／たばこ	
35.7360611	139.719291	shopping/conveni/lawson100	ローソン100	上池袋	東京都豊島区上池袋2‐39‐10	03-5961-4199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/259117/		お酒／たばこ	
35.5502314	139.720867	shopping/conveni/lawson100	ローソン100	南六郷	東京都大田区南六郷1‐8‐1 ハイツアオキ	03-5713-0299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/254670/		お酒／たばこ	
35.6933526	139.721233	shopping/conveni/lawson100	ローソン100	新宿住吉町	東京都新宿区住吉町8‐22	03-3353-3199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/198114/		お酒	
35.7640599	139.72106	shopping/conveni/lawson100	ローソン100	十条仲原	東京都北区十条仲原1‐25‐10	03-5924-5099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256426/		お酒	
35.7778603	139.722328	shopping/conveni/lawson100	ローソン100	赤羽駅南口	東京都北区赤羽南1‐9‐8	03-5939-4199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/262020/		お酒	
35.6447964	139.722812	shopping/conveni/lawson100	ローソン100	白金五丁目	東京都港区白金5‐15‐5 KSプレイス	03-6408-0099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/252090/		お酒／たばこ	
35.5726042	139.724799	shopping/conveni/lawson100	ローソン100	大森西	東京都大田区大森西5‐1‐1 センユー大森西	03-6404-0099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/257928/		お酒／たばこ	
35.5678969	139.724814	shopping/conveni/lawson100	ローソン100	梅屋敷	東京都大田区蒲田2‐4‐5スカイドムス	03-5713-7299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/261522/		お酒／たばこ	
35.6871785	139.724949	shopping/conveni/lawson100	ローソン100	四谷二丁目	東京都新宿区四谷2‐8	03-5362-0358	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250783/		お酒	
35.7296901	139.724938	shopping/conveni/lawson100	ローソン100	東池袋二丁目	東京都豊島区東池袋2‐1‐12	03-5979-2299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/254373/		お酒／たばこ	
35.7355031	139.724871	shopping/conveni/lawson100	ローソン100	大塚北口	東京都豊島区北大塚3‐27‐10	03-5961-3799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/252760/		お酒／たばこ	
35.7073331	139.725867	shopping/conveni/lawson100	ローソン100	早稲田鶴巻町	東京都新宿区早稲田鶴巻町522	03-5155-7141	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/259614/		お酒／たばこ	
35.7751435	139.726316	shopping/conveni/lawson100	ローソン100	志茂一丁目	東京都北区志茂1‐15‐8M＆K第三ハイツ	03-5939-4699	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/254953/		お酒／たばこ	
35.5855663	139.727734	shopping/conveni/lawson100	ローソン100	大森北	東京都大田区大森北1‐30‐7	03-5753-7899	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/259554/		お酒／たばこ	
35.6578532	139.727514	shopping/conveni/lawson100	ローソン100	元麻布	東京都港区元麻布3‐1‐34	03-3479-7177	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/298360/		ATM／お酒／たばこ	
35.7306622	139.728417	shopping/conveni/lawson100	ローソン100	南大塚	東京都豊島区南大塚3‐53‐7中根・橋本ビル	03-5958-1599	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/258626/		お酒	
35.7664056	139.729401	shopping/conveni/lawson100	ローソン100	北区東十条三丁目	東京都北区東十条3‐14‐12	03-3927-7223	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/291902/		お酒／たばこ	
35.5527209	139.729902	shopping/conveni/lawson100	ローソン100	糀谷駅前	東京都大田区萩中2‐1‐19	03-3742-1533	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250323/		お酒	
35.5677496	139.729934	shopping/conveni/lawson100	ローソン100	大森中	東京都大田区大森中2‐1‐17	03-5767-0099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/259548/		お酒／たばこ	
35.600448	139.730416	shopping/conveni/lawson100	ローソン100	大井町	東京都品川区大井3‐26‐11	03-5746-8799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/257093/		お酒／たばこ	
35.7336153	139.730045	shopping/conveni/lawson100	ローソン100	北大塚	東京都豊島区北大塚1‐33‐22	03-5907-3899	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/258572/		お酒／たばこ	
35.6377641	139.733559	shopping/conveni/lawson100	ローソン100	高輪一丁目	東京都港区高輪1‐26‐13	03-6408-5199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/262734/		お酒	
35.7657755	139.737144	shopping/conveni/lawson100	ローソン100	王子神谷	東京都北区王子5‐12‐5 パークサイド王子	03-5902-5399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255970/		お酒／たばこ	
35.5636693	139.74122	shopping/conveni/lawson100	ローソン100	大森南	東京都大田区大森南3‐28‐7SJハイツ	03-5735-2199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/258158/		お酒／たばこ	
35.7293717	139.742784	shopping/conveni/lawson100	ローソン100	文京千石四丁目	東京都文京区千石4‐45‐17	03-5977-1199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/261321/		お酒／たばこ	
35.6054676	139.743353	shopping/conveni/lawson100	ローソン100	鮫洲	東京都品川区東大井1‐2‐11 ウエノ東大井ハイツ	03-5783-3799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255622/		お酒／たばこ	
35.6127509	139.744331	shopping/conveni/lawson100	ローソン100	青物横丁	東京都品川区南品川2‐17‐37 中台ビル	03-5495-7199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256410/		お酒／たばこ	
35.7598063	139.745083	shopping/conveni/lawson100	ローソン100	北区豊島三丁目	東京都北区豊島3‐1‐1	03-5902-5899	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250493/		お酒／たばこ	
35.7266436	139.746681	shopping/conveni/lawson100	ローソン100	白山五丁目	東京都文京区白山5‐17‐20プラティーク白山	03-5319-7199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/258537/		お酒／たばこ	
35.7505915	139.748272	shopping/conveni/lawson100	ローソン100	上中里三丁目	東京都北区上中里3‐7‐11	03-3919-5699	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250837/		お酒	
35.6448358	139.7521	shopping/conveni/lawson100	ローソン100	芝浦二丁目	東京都港区芝浦2‐17‐12	03-5439-4899	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/261858/		お酒	
35.7207903	139.751865	shopping/conveni/lawson100	ローソン100	白山駅前	東京都文京区白山5‐36‐8 武蔵野ビル	03-5842-2099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/253741/		お酒／たばこ	
35.7338627	139.755552	shopping/conveni/lawson100	ローソン100	本駒込	東京都文京区本駒込4‐46‐4 ルピナス本駒込	03-5832-6899	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/259637/		お酒／たばこ	
35.7122853	139.759338	shopping/conveni/lawson100	ローソン100	本郷郵便局	東京都文京区本郷6‐1‐15	03-5840-6299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/261108/		お酒／たばこ	
35.7143047	139.762468	shopping/conveni/lawson100	ローソン100	東京大学工学部三号館	東京都文京区本郷7‐3‐1	03-5840-8199	07:30～21:00		https://www.e-map.ne.jp/p/lawson/dtl/263797/		お酒	
35.7509559	139.761793	shopping/conveni/lawson100	ローソン100	荒川西尾久三丁目	東京都荒川区西尾久3‐21‐12	03-5855-7399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251950/		お酒	
35.7920185	139.762096	shopping/conveni/lawson100	ローソン100	足立皿沼	東京都足立区皿沼1‐9‐6アーバンスクエア皿沼	03-5647-4699	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255540/		お酒	
35.7836046	139.764558	shopping/conveni/lawson100	ローソン100	足立鹿浜	東京都足立区鹿浜7‐12‐20	03-5838-1570	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250688/		お酒／たばこ	
35.7452286	139.765571	shopping/conveni/lawson100	ローソン100	東尾久	東京都荒川区東尾久5‐29‐5	03-5901-0299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/257207/		お酒／たばこ	
35.7057928	139.772335	shopping/conveni/lawson100	ローソン100	台東上野三丁目	東京都台東区上野3‐17‐4	03-5807-8336	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263461/		お酒	
35.6656922	139.774419	shopping/conveni/lawson100	ローソン100	築地七丁目	東京都中央区築地7‐11‐5 中銀ベル築地マンション	03-6226-5199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/254522/		お酒／たばこ	
35.7245589	139.778646	shopping/conveni/lawson100	ローソン100	台東根岸	東京都台東区根岸2‐16‐10	03-5808-4699	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/259844/		お酒／たばこ	
35.7436345	139.778153	shopping/conveni/lawson100	ローソン100	荒川町屋二丁目	東京都荒川区町屋2‐16‐15	03-3809-3091	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/198137/		お酒／たばこ	
35.7408344	139.780031	shopping/conveni/lawson100	ローソン100	町屋	東京都荒川区荒川7‐35‐7	03-5810-9199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/254545/		お酒	
35.7215193	139.781859	shopping/conveni/lawson100	ローソン100	台東根岸三丁目	東京都台東区根岸3‐1‐18	03-5824-3599	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263047/		お酒／たばこ	
35.7448146	139.782075	shopping/conveni/lawson100	ローソン100	荒川町屋一丁目	東京都荒川区町屋1‐5‐4	03-5855-7342	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263001/		お酒	
35.7186033	139.783831	shopping/conveni/lawson100	ローソン100	北上野二丁目	東京都台東区北上野2‐24‐9	03-5827-5299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/260043/		お酒	
35.7834527	139.78565	shopping/conveni/lawson100	ローソン100	足立栗原	東京都足立区栗原4‐5‐1 いそがひファーストビル	03-5838-2099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/253215/		お酒	
35.7106901	139.78731	shopping/conveni/lawson100	ローソン100	浅草通り	東京都台東区松が谷1‐2‐2	03-5830-2399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251110/		お酒	
35.7154937	139.790595	shopping/conveni/lawson100	ローソン100	西浅草	東京都台東区西浅草3‐21‐1	03-5830-0799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251127/		お酒／たばこ	
35.7551499	139.790449	shopping/conveni/lawson100	ローソン100	千住桜木二丁目	東京都足立区千住桜木2‐5‐6	03-5284-6199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/262668/		お酒	
35.7071104	139.791231	shopping/conveni/lawson100	ローソン100	台東寿三丁目	東京都台東区寿3‐9‐5	03-3841-6684	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250180/		お酒／たばこ	
35.6708672	139.793755	shopping/conveni/lawson100	ローソン100	江東牡丹一丁目	東京都江東区牡丹1‐14‐1	03-5621-8099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263231/		お酒	
35.7087055	139.794078	shopping/conveni/lawson100	ローソン100	浅草寿	東京都台東区寿4‐13‐13	03-5830-8499	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256863/		お酒／たばこ	
35.8004921	139.796077	shopping/conveni/lawson100	ローソン100	足立竹の塚七丁目	東京都足立区竹の塚7‐20‐6	03-3858-5440	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/291581/	有	お酒／たばこ	
35.6933313	139.797548	shopping/conveni/lawson100	ローソン100	両国	東京都墨田区両国4‐17‐4	03-5638-2100	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250004/		お酒／たばこ	
35.7004009	139.797533	shopping/conveni/lawson100	ローソン100	墨田石原	東京都墨田区石原1‐28‐12	03-5819-8100	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250866/		お酒／たばこ	
35.7355727	139.79699	shopping/conveni/lawson100	ローソン100	荒川南千住五丁目	東京都荒川区南千住5‐43‐12	03-5615-4699	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251943/		お酒	
35.7720846	139.797675	shopping/conveni/lawson100	ローソン100	梅島駅前	東京都足立区梅田7‐36‐2	03-5888-1399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256432/		お酒／たばこ	
35.7225611	139.798766	shopping/conveni/lawson100	ローソン100	台東浅草五丁目	東京都台東区浅草5‐72‐9	03-5808-0599	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/261960/		お酒／たばこ	
35.7539248	139.798155	shopping/conveni/lawson100	ローソン100	千住寿町	東京都足立区千住寿町23‐7シルバーコート	03-5813-1499	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/258610/		お酒	
35.7505252	139.79962	shopping/conveni/lawson100	ローソン100	千住中居町	東京都足立区千住中居町18‐14 白石ビル	03-5813-0299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255065/		お酒／たばこ	
35.7060113	139.800739	shopping/conveni/lawson100	ローソン100	東駒形二丁目	東京都墨田区東駒形2‐9‐11	03-5819-0399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/251185/		お酒／たばこ	
35.7230673	139.801708	shopping/conveni/lawson100	ローソン100	台東清川一丁目	東京都台東区清川1‐6‐3	03-5808-1603	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263679/		お酒／たばこ	
35.6880527	139.802309	shopping/conveni/lawson100	ローソン100	江東森下三丁目	東京都江東区森下3‐20‐2	03-5638-3199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/261114/		お酒／たばこ	
35.7263286	139.802053	shopping/conveni/lawson100	ローソン100	台東清川二丁目	東京都台東区清川2‐3‐5	03-5808-0799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263567/		お酒	
35.6811868	139.803178	shopping/conveni/lawson100	ローソン100	江東白河二丁目	東京都江東区白河2‐5‐13	03-3643-8457	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250352/		お酒	
35.7640791	139.804122	shopping/conveni/lawson100	ローソン100	千住新橋	東京都足立区足立1‐11‐5 松伝ビル	03-5845-4199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/252925/		お酒／たばこ	
35.7131145	139.805735	shopping/conveni/lawson100	ローソン100	言問橋	東京都墨田区向島2‐22‐1	03-5819-0622	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250116/		お酒／たばこ	
35.6886297	139.806956	shopping/conveni/lawson100	ローソン100	墨田菊川三丁目	東京都墨田区菊川3‐16‐14	03-3633-7379	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250501/		お酒／たばこ	
35.704227	139.807322	shopping/conveni/lawson100	ローソン100	墨田区本所四丁目	東京都墨田区本所4‐29‐22	03-5819-1399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/260451/		お酒／たばこ	
35.6682763	139.811062	shopping/conveni/lawson100	ローソン100	東陽一丁目	東京都江東区東陽1‐28‐4 天野園ビル	03-5857-4199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255645/		お酒／たばこ	
35.6804523	139.814067	shopping/conveni/lawson100	ローソン100	江東石島	東京都江東区石島10‐7	03-5633-6099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/261048/		お酒	
35.7010208	139.814146	shopping/conveni/lawson100	ローソン100	墨田太平	東京都墨田区太平3‐9‐5	03-5819-8099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/257845/		お酒／たばこ	
35.7069831	139.814344	shopping/conveni/lawson100	ローソン100	業平	東京都墨田区業平4‐7‐3	03-5819-6799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/252753/		お酒／たばこ	
35.6883643	139.815603	shopping/conveni/lawson100	ローソン100	住吉駅前	東京都江東区住吉2‐7‐12はせ川ビル	03-5669-6199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/257213/		お酒／たばこ	
35.7113493	139.815612	shopping/conveni/lawson100	ローソン100	押上	東京都墨田区押上1‐20‐3	03-5819-1185	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250790/		お酒	
35.7254297	139.819122	shopping/conveni/lawson100	ローソン100	東向島駅前	東京都墨田区東向島4‐34‐1	03-5655-6499	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/254344/		お酒	
35.7313945	139.821672	shopping/conveni/lawson100	ローソン100	墨田鐘ヶ淵	東京都墨田区墨田3‐39‐7	03-5655-1099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256171/		お酒／たばこ	
35.6866992	139.824816	shopping/conveni/lawson100	ローソン100	大島一丁目	東京都江東区大島1‐21‐5 エスポワール西大島	03-5836-5199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/255711/		お酒／たばこ	
35.7002726	139.825284	shopping/conveni/lawson100	ローソン100	亀戸二丁目	東京都江東区亀戸2‐36‐11	03-5628-2799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/259146/		お酒	
35.7157794	139.825012	shopping/conveni/lawson100	ローソン100	墨田区八広	東京都墨田区八広2‐16‐11 第一ミラージュハイツ	03-5655-4699	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/252836/		お酒	
35.7458079	139.826777	shopping/conveni/lawson100	ローソン100	葛飾堀切二丁目	東京都葛飾区堀切2‐36‐6	03-3694-0344	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250122/		お酒／たばこ	
35.6849634	139.826903	shopping/conveni/lawson100	ローソン100	北砂三丁目	東京都江東区北砂3‐4‐8	03-5633-8799	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/263142/		お酒／たばこ	
35.7646494	139.827759	shopping/conveni/lawson100	ローソン100	綾瀬三丁目	東京都足立区綾瀬3‐26‐16	03-5673-1299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256053/		お酒	
35.6891215	139.827793	shopping/conveni/lawson100	ローソン100	西大島	東京都江東区大島4‐5‐11 籐和西大島コープ	03-5628-3899	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/252457/		お酒／たばこ	
35.7254668	139.827799	shopping/conveni/lawson100	ローソン100	墨田八広五丁目	東京都墨田区八広5‐30‐11	03-5631-5299	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/261427/		お酒	
35.7622364	139.828234	shopping/conveni/lawson100	ローソン100	足立綾瀬二丁目	東京都足立区綾瀬2‐28‐4	03-3604-4804	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/256716/		お酒／たばこ	
35.690395	139.832456	shopping/conveni/lawson100	ローソン100	江東大島六丁目団地	東京都江東区大島6‐1‐1	03-3681-8995	07:00～23:00		https://www.e-map.ne.jp/p/lawson/dtl/198150/		お酒／たばこ	
35.777579	139.832525	shopping/conveni/lawson100	ローソン100	北綾瀬駅前	東京都足立区谷中4‐9‐22	03-3620-5875	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/250435/		お酒／たばこ	
35.7538001	139.833903	shopping/conveni/lawson100	ローソン100	葛飾東堀切二丁目	東京都葛飾区東堀切2‐10‐4	03-5629-3399	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/262190/		お酒／たばこ	
35.7378889	139.837521	shopping/conveni/lawson100	ローソン100	四つ木	東京都葛飾区四つ木2‐18‐4 モリス四つ木	03-5698-7199	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/253675/		お酒／たばこ	
35.7493731	139.836992	shopping/conveni/lawson100	ローソン100	東堀切	東京都葛飾区東堀切1‐20‐16	03-3602-4789	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/259896/		お酒／たばこ	
35.7802836	139.839396	shopping/conveni/lawson100	ローソン100	足立大谷田	東京都足立区大谷田4‐15‐7	03-5673-6099	24時間営業		https://www.e-map.ne.jp/p/lawson/dtl/253669/		お酒	
